testId,variant,sex,ageMin,ageMax,minScore,maxScore,percentile,classification
test_push_up,Default,Male,20,29,0,21,40,Needs Improvement
test_push_up,Default,Male,20,29,22,35,60,Healthy Fitness Zone
test_push_up,Default,Male,20,29,36,100,90,Superior
test_push_up,Default,Female,20,29,0,14,40,Needs Improvement
test_push_up,Default,Female,20,29,15,29,60,Healthy Fitness Zone
test_push_up,Default,Female,20,29,30,100,90,Superior
test_push_up,Default,Male,30,39,0,16,40,Needs Improvement
test_push_up,Default,Male,30,39,17,29,60,Healthy Fitness Zone
test_push_up,Default,Male,30,39,30,100,90,Superior
test_push_up,Default,Female,30,39,0,12,40,Needs Improvement
test_push_up,Default,Female,30,39,13,26,60,Healthy Fitness Zone
test_push_up,Default,Male,30,39,27,100,90,Superior
test_push_up,Default,Male,40,49,0,12,40,Needs Improvement
test_push_up,Default,Male,40,49,13,24,60,Healthy Fitness Zone
test_push_up,Default,Female,40,49,25,100,90,Superior
test_push_up,Default,Male,40,49,0,10,40,Needs Improvement
test_push_up,Default,Male,40,49,11,23,60,Healthy Fitness Zone
test_push_up,Default,Male,40,49,24,100,90,Superior
test_push_up,Default,Female,50,59,0,9,40,Needs Improvement
test_push_up,Default,Female,50,59,10,20,60,Healthy Fitness Zone
test_push_up,Default,Female,50,59,21,100,90,Superior
test_push_up,Default,female,50,59,0,6,40,Needs Improvement
test_push_up,Default,female,50,59,7,20,60,Healthy Fitness Zone
test_push_up,Default,female,50,59,21,100,90,Superior
test_push_up,Default,male,60,69,0,7,40,Needs Improvement
test_push_up,Default,male,60,69,8,17,60,Healthy Fitness Zone
test_push_up,Default,male,60,69,18,100,90,Superior
test_push_up,Default,female,60,69,0,4,40,Needs Improvement
test_push_up,Default,female,60,69,5,16,60,Healthy Fitness Zone
test_push_up,Default,female,60,69,17,100,90,Superior
Canadian Trunk Forward Flexion Test,Default,Male,20,29,0,29,40,Needs Improvement
Canadian Trunk Forward Flexion Test,Default,Male,20,29,30,39,60,Healthy Fitness Zone
Canadian Trunk Forward Flexion Test,Default,Male,20,29,40,100,90,Superior
Canadian Trunk Forward Flexion Test,Default,Female,20,29,0,32,40,Needs Improvement
Canadian Trunk Forward Flexion Test,Default,Female,20,29,33,40,60,Healthy Fitness Zone
Canadian Trunk Forward Flexion Test,Default,Female,20,29,41,100,90,Superior
Canadian Trunk Forward Flexion Test,Default,Male,30,39,0,27,40,Needs Improvement
Canadian Trunk Forward Flexion Test,Default,Male,30,39,28,37,60,Healthy Fitness Zone
Canadian Trunk Forward Flexion Test,Default,Male,30,39,38,100,90,Superior
Canadian Trunk Forward Flexion Test,Default,Female,30,39,0,31,40,Needs Improvement
Canadian Trunk Forward Flexion Test,Default,Female,30,39,32,40,60,Healthy Fitness Zone
Canadian Trunk Forward Flexion Test,Default,Female,30,39,41,100,90,Superior
Canadian Trunk Forward Flexion Test,Default,Male,40,49,0,23,40,Needs Improvement
Canadian Trunk Forward Flexion Test,Default,Male,40,49,24,34,60,Healthy Fitness Zone
Canadian Trunk Forward Flexion Test,Default,Male,40,49,35,100,90,Superior
Canadian Trunk Forward Flexion Test,Default,Female,40,49,0,29,40,Needs Improvement
Canadian Trunk Forward Flexion Test,Default,Female,40,49,30,37,60,Healthy Fitness Zone
Canadian Trunk Forward Flexion Test,Default,Female,40,49,38,100,90,Superior
Canadian Trunk Forward Flexion Test,Default,Male,50,59,0,23,40,Needs Improvement
Canadian Trunk Forward Flexion Test,Default,Male,50,59,24,34,60,Healthy Fitness Zone
Canadian Trunk Forward Flexion Test,Default,Male,50,59,35,100,90,Superior
Canadian Trunk Forward Flexion Test,Default,female,50,59,0,29,40,Needs Improvement
Canadian Trunk Forward Flexion Test,Default,female,50,59,30,38,60,Healthy Fitness Zone
Canadian Trunk Forward Flexion Test,Default,female,50,59,39,100,90,Superior
Canadian Trunk Forward Flexion Test,Default,male,60,69,0,19,40,Needs Improvement
Canadian Trunk Forward Flexion Test,Default,male,60,69,20,32,60,Healthy Fitness Zone
Canadian Trunk Forward Flexion Test,Default,male,60,69,33,100,90,Superior
Canadian Trunk Forward Flexion Test,Default,female,60,69,0,26,40,Needs Improvement
Canadian Trunk Forward Flexion Test,Default,female,60,69,27,34,60,Healthy Fitness Zone
Canadian Trunk Forward Flexion Test,Default,female,60,69,35,100,90,Superior
test_flexed_arm_hang,Default,Male,20,29,0,19,40,Needs Improvement
test_flexed_arm_hang,Default,Male,20,29,20,49,60,Healthy Fitness Zone
test_flexed_arm_hang,Default,Male,20,29,50,300,90,Superior
test_flexed_arm_hang,Default,Female,20,29,0,9,40,Needs Improvement
test_flexed_arm_hang,Default,Female,20,29,10,29,60,Healthy Fitness Zone
test_flexed_arm_hang,Default,Female,20,29,30,300,90,Superior
test_flexed_arm_hang,Default,Male,30,39,0,17,40,Needs Improvement
test_flexed_arm_hang,Default,Male,30,39,18,44,60,Healthy Fitness Zone
test_flexed_arm_hang,Default,Male,30,39,45,300,90,Superior
test_flexed_arm_hang,Default,Female,30,39,0,8,40,Needs Improvement
test_flexed_arm_hang,Default,Female,30,39,9,24,60,Healthy Fitness Zone
test_flexed_arm_hang,Default,Female,30,39,25,300,90,Superior
test_flexed_arm_hang,Default,Male,40,49,0,14,40,Needs Improvement
test_flexed_arm_hang,Default,Male,40,49,15,39,60,Healthy Fitness Zone
test_flexed_arm_hang,Default,Male,40,49,40,300,90,Superior
test_flexed_arm_hang,Default,Female,40,49,0,7,40,Needs Improvement
test_flexed_arm_hang,Default,Female,40,49,8,19,60,Healthy Fitness Zone
test_flexed_arm_hang,Default,Female,40,49,20,300,90,Superior
test_flexed_arm_hang,Default,Male,50,59,0,11,40,Needs Improvement
test_flexed_arm_hang,Default,Male,50,59,12,29,60,Healthy Fitness Zone
test_flexed_arm_hang,Default,Male,50,59,30,300,90,Superior
test_flexed_arm_hang,Default,Female,50,59,0,5,40,Needs Improvement
test_flexed_arm_hang,Default,Female,50,59,6,14,60,Healthy Fitness Zone
test_flexed_arm_hang,Default,Female,50,59,15,300,90,Superior
test_flexed_arm_hang,Default,Male,60,69,0,8,40,Needs Improvement
test_flexed_arm_hang,Default,Male,60,69,9,19,60,Healthy Fitness Zone
test_flexed_arm_hang,Default,Male,60,69,20,300,90,Superior
test_flexed_arm_hang,Default,Female,60,69,0,3,40,Needs Improvement
test_flexed_arm_hang,Default,Female,60,69,4,9,60,Healthy Fitness Zone
test_flexed_arm_hang,Default,Female,60,69,10,300,90,Superior
test_curl_up,Default,Male,20,29,0,17,40,Needs Improvement
test_curl_up,Default,Male,20,29,18,40,60,Healthy Fitness Zone
test_curl_up,Default,Male,20,29,41,75,90,Superior
test_curl_up,Default,Female,20,29,0,14,40,Needs Improvement
test_curl_up,Default,Female,20,29,15,40,60,Healthy Fitness Zone
test_curl_up,Default,Female,20,29,41,75,90,Superior
test_curl_up,Default,Male,30,39,0,15,40,Needs Improvement
test_curl_up,Default,Male,30,39,16,36,60,Healthy Fitness Zone
test_curl_up,Default,Male,30,39,37,75,90,Superior
test_curl_up,Default,Female,30,39,0,12,40,Needs Improvement
test_curl_up,Default,Female,30,39,13,34,60,Healthy Fitness Zone
test_curl_up,Default,Female,30,39,35,75,90,Superior
test_curl_up,Default,Male,40,49,0,12,40,Needs Improvement
test_curl_up,Default,Male,40,49,13,32,60,Healthy Fitness Zone
test_curl_up,Default,Male,40,49,33,75,90,Superior
test_curl_up,Default,Female,40,49,0,10,40,Needs Improvement
test_curl_up,Default,Female,40,49,11,30,60,Healthy Fitness Zone
test_curl_up,Default,Female,40,49,31,75,90,Superior
test_curl_up,Default,Male,50,59,0,10,40,Needs Improvement
test_curl_up,Default,Male,50,59,11,28,60,Healthy Fitness Zone
test_curl_up,Default,Male,50,59,29,75,90,Superior
test_curl_up,Default,Female,50,59,0,8,40,Needs Improvement
test_curl_up,Default,Female,50,59,9,26,60,Healthy Fitness Zone
test_curl_up,Default,Female,50,59,27,75,90,Superior
test_curl_up,Default,Male,60,69,0,8,40,Needs Improvement
test_curl_up,Default,Male,60,69,9,24,60,Healthy Fitness Zone
test_curl_up,Default,Male,60,69,25,75,90,Superior
test_curl_up,Default,Female,60,69,0,6,40,Needs Improvement
test_curl_up,Default,Female,60,69,7,22,60,Healthy Fitness Zone
test_curl_up,Default,Female,60,69,23,75,90,Superior
test_cooper_12_min_run,Default,Male,20,29,0,2099 m,40,Needs Improvement
test_cooper_12_min_run,Default,Male,20,29,2100,2799,60,Healthy Fitness Zone
test_cooper_12_min_run,Default,Male,20,29,2800,5000,90,Superior
test_cooper_12_min_run,Default,Female,20,29,0,1699,40,Needs Improvement
test_cooper_12_min_run,Default,Female,20,29,1700,2699,60,Healthy Fitness Zone
test_cooper_12_min_run,Default,Female,20,29,2700,5000,90,Superior
test_cooper_12_min_run,Default,Male,30,39,0,1899,40,Needs Improvement
test_cooper_12_min_run,Default,Male,30,39,1900,2699,60,Healthy Fitness Zone
test_cooper_12_min_run,Default,Male,30,39,2700,5000,90,Superior
test_cooper_12_min_run,Default,Female,30,39,0,1599,40,Needs Improvement
test_cooper_12_min_run,Default,Female,30,39,1600,2499,60,Healthy Fitness Zone
test_cooper_12_min_run,Default,Female,30,39,2500,5000,90,Superior
test_cooper_12_min_run,Default,Male,40,49,0,1699,40,Needs Improvement
test_cooper_12_min_run,Default,Male,40,49,1700,2499,60,Healthy Fitness Zone
test_cooper_12_min_run,Default,Male,40,49,2500,5000,90,Superior
test_cooper_12_min_run,Default,Female,40,49,0,1499,40,Needs Improvement
test_cooper_12_min_run,Default,Female,40,49,1500,2299,60,Healthy Fitness Zone
test_cooper_12_min_run,Default,Female,40,49,2300,5000,90,Superior
test_cooper_12_min_run,Default,Male,50,59,0,1599,40,Needs Improvement
test_cooper_12_min_run,Default,Male,50,59,1600,2399,60,Healthy Fitness Zone
test_cooper_12_min_run,Default,Male,50,59,2400,5000,90,Superior
test_cooper_12_min_run,Default,Female,50,59,0,1399,40,Needs Improvement
test_cooper_12_min_run,Default,Female,50,59,1400,2099,60,Healthy Fitness Zone
test_cooper_12_min_run,Default,Female,50,59,2100,5000,90,Superior
test_cooper_12_min_run,Default,Male,60,69,0,1399,40,Needs Improvement
test_cooper_12_min_run,Default,Male,60,69,1400,2199,60,Healthy Fitness Zone
test_cooper_12_min_run,Default,Male,60,69,2200,5000,90,Superior
test_cooper_12_min_run,Default,Female,60,69,0,1199,40,Needs Improvement
test_cooper_12_min_run,Default,Female,60,69,1200,1899,60,Healthy Fitness Zone
test_cooper_12_min_run,Default,Female,60,69,1900,5000,90,Superior
Waist Circumference,Default,Male,20,29,0,79,60,Healthy Fitness Zone
Waist Circumference,Default,Male,20,29,80,99,60,Healthy Fitness Zone
Waist Circumference,Default,Male,20,29,100,120,40,Needs Improvement
Waist Circumference,Default,Male,20,29,121,300,40,Needs Improvement
Waist Circumference,Default,Female,20,29,0,69,60,Healthy Fitness Zone
Waist Circumference,Default,Female,20,29,70,89,60,Healthy Fitness Zone
Waist Circumference,Default,Female,20,29,90,109,40,Needs Improvement
Waist Circumference,Default,Female,20,29,110,300,40,Needs Improvement
Waist Circumference,Default,Male,30,39,0,79,60,Healthy Fitness Zone
Waist Circumference,Default,Male,30,39,80,99,60,Healthy Fitness Zone
Waist Circumference,Default,Male,30,39,100,120,40,Needs Improvement
Waist Circumference,Default,Male,30,39,121,300,40,Needs Improvement
Waist Circumference,Default,Female,30,39,0,69,60,Healthy Fitness Zone
Waist Circumference,Default,Female,30,39,70,89,60,Healthy Fitness Zone
Waist Circumference,Default,Female,30,39,90,109,40,Needs Improvement
Waist Circumference,Default,Female,30,39,110,300,40,Needs Improvement
Waist Circumference,Default,Male,40,49,0,79,60,Healthy Fitness Zone
Waist Circumference,Default,Male,40,49,80,99,60,Healthy Fitness Zone
Waist Circumference,Default,Male,40,49,100,120,40,Needs Improvement
Waist Circumference,Default,Male,40,49,121,300,40,Needs Improvement
Waist Circumference,Default,Female,40,49,0,69,60,Healthy Fitness Zone
Waist Circumference,Default,Female,40,49,70,89,60,Healthy Fitness Zone
Waist Circumference,Default,Female,40,49,90,109,40,Needs Improvement
Waist Circumference,Default,Female,40,49,110,300,40,Needs Improvement
Waist Circumference,Default,Male,50,59,0,79,60,Healthy Fitness Zone
Waist Circumference,Default,Male,50,59,80,99,60,Healthy Fitness Zone
Waist Circumference,Default,Male,50,59,100,120,40,Needs Improvement
Waist Circumference,Default,Male,50,59,121,300,40,Needs Improvement
Waist Circumference,Default,Female,50,59,0,69,60,Healthy Fitness Zone
Waist Circumference,Default,Female,50,59,70,89,60,Healthy Fitness Zone
Waist Circumference,Default,Female,50,59,90,109,40,Needs Improvement
Waist Circumference,Default,Female,50,59,110,300,40,Needs Improvement
Waist Circumference,Default,Male,60,69,0,79,60,Healthy Fitness Zone
Waist Circumference,Default,Male,60,69,80,99,60,Healthy Fitness Zone
Waist Circumference,Default,Male,60,69,100,120,40,Needs Improvement
Waist Circumference,Default,Male,60,69,121,300,40,Needs Improvement
Waist Circumference,Default,Female,60,69,0,69,60,Healthy Fitness Zone
Waist Circumference,Default,Female,60,69,70,89,60,Healthy Fitness Zone
Waist Circumference,Default,Female,60,69,90,109,40,Needs Improvement
Waist Circumference,Default,Female,60,69,110,300,40,Needs Improvement
BMI,Default,Male,20,29,0,18.4,40,Needs Improvement
BMI,Default,Male,20,29,18.5,24.9,60,Healthy Fitness Zone
BMI,Default,Male,20,29,25,100,40,Needs Improvement
BMI,Default,Female,20,29,0,18.4,40,Needs Improvement
BMI,Default,Female,20,29,18.5,24.9,60,Healthy Fitness Zone
BMI,Default,Female,20,29,25,100,40,Needs Improvement
BMI,Default,Male,30,39,0,18.4,40,Needs Improvement
BMI,Default,Male,30,39,18.5,24.9,60,Healthy Fitness Zone
BMI,Default,Male,30,39,25,100,40,Needs Improvement
BMI,Default,Female,30,39,0,18.4,40,Needs Improvement
BMI,Default,Female,30,39,18.5,24.9,60,Healthy Fitness Zone
BMI,Default,Female,30,39,25,100,40,Needs Improvement
BMI,Default,Male,40,49,0,18.4,40,Needs Improvement
BMI,Default,Male,40,49,18.5,24.9,60,Healthy Fitness Zone
BMI,Default,Male,40,49,25,100,40,Needs Improvement
BMI,Default,Female,40,49,0,18.4,40,Needs Improvement
BMI,Default,Female,40,49,18.5,24.9,60,Healthy Fitness Zone
BMI,Default,Female,40,49,25,100,40,Needs Improvement
BMI,Default,Male,50,59,0,18.4,40,Needs Improvement
BMI,Default,Male,50,59,18.5,24.9,60,Healthy Fitness Zone
BMI,Default,Male,50,59,25,100,40,Needs Improvement
BMI,Default,Female,50,59,0,18.4,40,Needs Improvement
BMI,Default,Female,50,59,18.5,24.9,60,Healthy Fitness Zone
BMI,Default,Female,50,59,25,100,40,Needs Improvement
BMI,Default,Male,60,69,0,18.4,40,Needs Improvement
BMI,Default,Male,60,69,18.5,24.9,60,Healthy Fitness Zone
BMI,Default,Male,60,69,25,100,40,Needs Improvement
BMI,Default,Female,60,69,0,18.4,40,Needs Improvement
BMI,Default,Female,60,69,18.5,24.9,60,Healthy Fitness Zone
BMI,Default,Female,60,69,25,100,40,Needs Improvement
Rockport Walk Test (VO₂max),Default,Male,20,29,0,41.6,40,Needs Improvement
Rockport Walk Test (VO₂max),Default,Male,20,29,41.7,55.2,60,Healthy Fitness Zone
Rockport Walk Test (VO₂max),Default,Male,20,29,55.3,80,90,Superior
Rockport Walk Test (VO₂max),Default,Female,20,29,0,35.9,40,Needs Improvement
Rockport Walk Test (VO₂max),Default,Female,20,29,36,49.1,60,Healthy Fitness Zone
Rockport Walk Test (VO₂max),Default,Female,20,29,49.2,80,90,Superior
Rockport Walk Test (VO₂max),Default,Male,30,39,0,40.2,40,Needs Improvement
Rockport Walk Test (VO₂max),Default,Male,30,39,40.3,52.4,60,Healthy Fitness Zone
Rockport Walk Test (VO₂max),Default,Male,30,39,52.5,80,90,Superior
Rockport Walk Test (VO₂max),Default,Female,30,39,0,34.7,40,Needs Improvement
Rockport Walk Test (VO₂max),Default,Female,30,39,34.8,46.8,60,Healthy Fitness Zone
Rockport Walk Test (VO₂max),Default,Female,30,39,46.9,80,90,Superior
Rockport Walk Test (VO₂max),Default,Male,40,49,0,37.8,40,Needs Improvement
Rockport Walk Test (VO₂max),Default,Male,40,49,37.9,50.9,60,Healthy Fitness Zone
Rockport Walk Test (VO₂max),Default,Male,40,49,51,80,90,Superior
Rockport Walk Test (VO₂max),Default,Female,40,49,0,33,40,Needs Improvement
Rockport Walk Test (VO₂max),Default,Female,40,49,33.1,45,60,Healthy Fitness Zone
Rockport Walk Test (VO₂max),Default,Female,40,49,45.1,80,90,Superior
Rockport Walk Test (VO₂max),Default,Male,50,59,0,35.7,40,Needs Improvement
